Disease_ID,City_URL,
http://purl.obolibrary.org/obo/DOID_7551,https://w3id.org/ohboi#Luxembourg,
http://purl.obolibrary.org/obo/DOID_10456,https://w3id.org/ohboi#Monaco,
http://purl.obolibrary.org/obo/DOID_552,https://w3id.org/ohboi#Monaco,
http://purl.obolibrary.org/obo/DOID_1639,https://w3id.org/ohboi#Luxembourg,
http://purl.obolibrary.org/obo/DOID_2149,https://w3id.org/ohboi#San Marino,
http://purl.obolibrary.org/obo/DOID_2957,https://w3id.org/ohboi#Luxembourg,
http://purl.obolibrary.org/obo/DOID_401,https://w3id.org/ohboi#San Marino,
http://purl.obolibrary.org/obo/DOID_9861,https://w3id.org/ohboi#Luxembourg,
http://purl.obolibrary.org/obo/DOID_11729,https://w3id.org/ohboi#San Marino,
http://purl.obolibrary.org/obo/DOID_13034,https://w3id.org/ohboi#Luxembourg,
http://purl.obolibrary.org/obo/DOID_1498,https://w3id.org/ohboi#San Marino,
http://purl.obolibrary.org/obo/DOID_3488,https://w3id.org/ohboi#Luxembourg,
http://purl.obolibrary.org/obo/NCBITaxon_1639,https://w3id.org/ohboi#Monaco,
http://purl.obolibrary.org/obo/DOID_11976,https://w3id.org/ohboi#Monaco,
